replica,delta_inyectado,PGR,PLR,PGR_menos_PLR,SE,z,p,rechaza_5pct,ci_lo,ci_hi,cero_dentro_ci,delta_hat,SE_delta_hat,p_delta_hat,rechaza_delta_5pct,beta_net,p_beta_net,rechaza_beta_net_5pct,turnover_medio,error_recuperacion,retorno_mercado_ew,tenencia_ganadoras,tenencia_perdedoras,brecha_tenencia
0,0.795458688827732,0.12544975011032092,0.01924008694862748,0.10620966316169345,0.0012573852160733029,84.46867499633592,0.0,True,0.10362514836406561,0.1086130940292923,False,0.8017855048184304,0.003422461083113995,0.0,True,0.07478570220671099,1.394645716031831e-28,True,2.1291008991117333,0.006326815990698398,-0.1193102350696077,54.0,117.16987609863281,-63.16987609863281
1,0.799001850195818,0.10206777440295396,0.016699837437899757,0.08536793696505421,0.0008572004485724486,99.58923505840782,0.0,True,0.08376461520859274,0.08717621967874141,False,0.8031371159651508,0.0032233134646393385,0.0,True,0.11380601994312481,3.43346773724097e-31,True,2.5143406725944595,0.004135265769332763,0.051796705485100736,51.0,109.99832534790039,-58.99832534790039
2,0.7972220565991609,0.08968899630973802,0.0180857603003351,0.07160323600940292,0.0007092641014810186,100.95426493444089,0.0,True,0.07020692824170174,0.07295591652496633,False,0.7965611387817775,0.00347285388369224,0.0,True,0.10808763340366279,3.7407616154900154e-17,True,2.6445033531343074,-0.0006609178173834218,0.2152801447920134,47.11050605773926,122.60403442382812,-75.49352836608887
3,0.8030925997868363,0.11262595065329668,0.01777253789203393,0.09485341276126275,0.0009952425797271729,95.30682739404601,0.0,True,0.09301235521461068,0.09687291540469603,False,0.8036103900701316,0.003065188121784343,0.0,True,0.08941058531254874,3.4508197771550175e-24,True,2.3502163355903405,0.0005177902832952386,0.018407861262094594,69.0,96.5,-27.5
4,0.8001896224302976,0.12948821431855567,0.018753149839523964,0.11073506447903171,0.001320550492314971,83.85522940884243,0.0,True,0.1082814273329782,0.11356353041281213,False,0.8009941814735986,0.0033965454403595084,0.0,True,0.08183925973854181,9.401363544651481e-39,True,2.1742760526006033,0.0008045590433010119,-0.07392190729839043,73.0714111328125,100.27207565307617,-27.200664520263672
5,0.8045002290783576,0.1402640447254901,0.020520350260974346,0.11974369446451574,0.0015332748417509578,78.09669291108418,0.0,True,0.11679603994729816,0.12260941622894807,False,0.8073659768235327,0.0031322380340969127,0.0,True,0.04589941045833042,1.4054882537966678e-14,True,1.8886712131571877,0.002865747745175118,-0.2064792172552895,58.0,126.52907180786133,-68.52907180786133
6,0.8018862891730205,0.09071834638938654,0.011973568751787697,0.07874477763759885,0.0007939924070428881,99.175731328304,0.0,True,0.0772336958010661,0.08027728491018461,False,0.8043694557118697,0.003241527312749645,0.0,True,0.1701957596556113,1.7190961877790946e-37,True,3.1663956464360337,0.0024831665388491686,0.41439326164448853,58.68083572387695,70.0,-11.319164276123047
7,0.8004184919474371,0.09264389745900432,0.013042222678018023,0.0796016747809863,0.0007848580625224267,101.42174564042494,0.0,True,0.07811222760216167,0.08121481258882292,False,0.8037675067318002,0.0034193177580409905,0.0,True,0.12938435864310768,3.1726884937563675e-32,True,3.083268742215203,0.0033490147843631135,0.3530740031793618,60.0,70.68633270263672,-10.686332702636719
8,0.8046474970855263,0.09329214543178171,0.01851585905808949,0.07477628637369223,0.000724512057619283,103.2091675870848,0.0,True,0.07333059955242922,0.07619485558115917,False,0.8063771975447842,0.00322590913910401,0.0,True,0.046657040043150716,1.4477568009043126e-08,True,2.524394555172315,0.0017297004592579102,-0.15385355648711208,53.32921600341797,103.77798461914062,-50.448768615722656
9,0.7985352947450689,0.10383442710281433,0.017388343552926042,0.0864460835498883,0.0009037276268444581,95.65501925810514,0.0,True,0.08474365671518731,0.08832117563842327,False,0.7961797126827059,0.0033275787493282994,0.0,True,0.09496861178756541,2.5095577782291113e-17,True,2.4732359179172656,-0.002355582062362971,0.07606868143731704,60.56536674499512,97.52770614624023,-36.96233940124512
